token	frequency	length
toplih	3	6
uzroèja	3	7
drumom	2	6
nemoæna	4	7
djavolak	1	8
prekrižila	1	10
želinom	1	7
èineæi	7	6
vina	44	4
zranila	1	7
matijeviæeve	1	12
crticu	2	6
žaranih	1	7
zadjenem	1	8
vjeruje	8	7
spravljaše	3	10
opomenuti	2	9
novome	4	6
žilavo	1	6
pretvoren	3	9
osvojen	1	7
pomirbu	1	7
živili	1	6
podveèerje	1	10
protiv	23	6
obzorja	4	7
odrišiti	1	8
povici	2	6
muèasmo	1	7
pterodaktilne	1	13
vežem	1	5
ugoditi	12	7
spominjanje	3	11
odvedi	1	6
plakati	10	7
funkcija	5	8
magdalenu	4	9
ukuæiti	1	7
klizati	1	7
stilskim	1	8
razsvietlio	1	11
bože	124	4
kulu	1	4
radovanka	1	9
muhu	2	4
oèica	1	5
prošlih	5	7
zatekavši	1	9
književne	12	9
oèaja	10	5
kegleviæa	1	9
raspraviti	1	10
služija	1	7
klekne	3	6
drakunski	1	9
oknom	1	5
strigla	1	7
pomolu	2	6
ova	124	3
izbacuje	1	8
utvaru	1	6
savjetovao	2	10
popalio	1	7
luk	1	3
tordinèev	4	9
sedme	1	5
izdubili	1	8
probliediv	2	10
zamaše	2	6
sriemskoj	1	9
pelagija	1	8
našieh	2	6
stvorcem	1	8
mazna	1	5
izmienio	1	8
mužkarcima	2	10
uzbrdice	1	8
narednu	1	7
korova	3	6
izlomljena	1	10
konkretizira	3	12
barbarosse	1	10
lastavicu	1	9
omazale	1	7
poluotokom	1	10
raslo	3	5
nikad	101	5
izvoljeli	1	9
zavedu	1	6
uhitite	1	7
pšenicom	2	8
izpuni	8	6
obeæavao	3	8
mujezina	4	8
valovito	3	8
maleno	2	6
primljeni	1	9
vodeæi	5	6
prevezao	1	8
scienio	1	7
putovanjima	1	11
šaraš	1	5
plamni	1	6
mlazi	1	5
gubitak	2	7
pojagmili	1	9
svjeæicu	2	8
mrtvaci	1	7
èekajuæ	1	7
almérije	1	8
pastirèe	1	8
evi	2	3
slavenstvu	9	10
pribiti	2	7
ojadio	1	6
južni	3	5
ugra	2	4
doprinielo	1	10
šarno	2	5
doèekivao	1	9
talasi	1	6
sjemenjem	1	9
odtada	2	6
nosile	7	6
plahovit	4	8
to	1681	2
zvonarev	1	8
dalmatinci	3	10
abiron	1	6
zirnuv	2	6
nazdravljati	1	12
isteæi	1	6
èeški	3	5
otrcana	1	7
temelj	8	6
najslavniji	1	11
barjake	1	7
bilješci	2	8
trgni	1	5
baranjskoj	1	10
razlicih	2	8
dlanove	4	7
zasvira	3	7
obveza	1	6
umilno	2	6
zavija	3	6
sumraèno	1	8
prihvaæala	1	10
gdje	1	4
diletant	1	8
gospod	5	6
strijela	4	8
diela	6	5
trèi	3	4
tuguje	3	6
prenieti	2	8
saèuvala	3	8
izleže	1	6
poreci	2	6
otvorena	7	8
klièuæi	1	7
tomiÆ	2	5
isjekao	1	7
prevejanih	1	10
glasnike	1	8
razpustiše	1	10
milka	2	5
knezom	2	6
neutrt	1	6
gange	3	5
goriš	2	5
pobolje	3	7
kreæem	1	6
izbaèenu	1	8
laža	2	4
ovaj	109	4
zator	5	5
stajala	16	7
takvim	7	6
pojme	2	5
starce	1	6
nastavljaju	1	11
kapu	17	4
izbacismo	1	9
rodit	1	5
prokletnice	1	11
paklenoga	2	9
filosofiji	1	10
dotadašnjoj	1	11
pobjedonosno	1	12
strièeva	1	8
osokolilo	1	9
zraci	7	5
mironosnu	1	9
željama	1	7
državnika	1	9
publiku	1	7
ulomiti	1	7
lièe	1	4
para	12	4
snebiti	1	7
napao	1	5
visine	27	6
razgovarali	7	11
sažaljivo	1	9
tuzi	12	4
neznanih	1	8
utihi	1	5
izmamljenim	1	11
opišemo	1	7
savita	2	6
odmarala	1	8
usna	7	4
izvukli	2	7
tisne	1	5
plug	1	4
imenovali	1	9
pozriti	3	7
oblasti	5	7
arhitektonici	1	13
uzveseli	1	8
udilj	12	5
zamuèa	3	6
pobro	2	5
samoæa	1	6
lavom	2	5
kaveza	1	6
skoèio	9	6
knjigama	2	8
æutilom	1	7
legradu	3	7
domovinske	3	10
gvozdenom	1	9
procesu	1	7
dobrovoljnoj	1	12
natoèi	3	6
staja	1	5
upuæujuæi	1	9
oma	1	3
pak	121	3
šeæerka	3	7
dobre	15	5
svojeglavost	1	12
ogranak	1	7
uzmièe	1	6
zaplakali	1	9
radovana	4	8
poklade	1	7
polijaše	1	8
predstojnik	1	11
slavonci	8	8
odluèili	4	8
zduha	1	5
hlebac	1	6
dovršujuæ	1	9
sazdano	2	7
protivnih	2	9
vratiše	5	7
timor	1	5
tresu	1	5
ponosne	1	7
trebaš	3	6
zrake	22	5
vilinskih	2	9
njenoj	4	6
dospjeste	1	9
dokrao	1	6
smješljivim	6	11
budiniæeva	9	10
leæu	1	4
pomodna	1	7
strave	9	6
odnošja	1	7
madame	4	6
misleæ	11	6
slušajuæ	2	8
štuju	1	5
vjeruješ	2	8
srnuše	1	6
omotala	1	7
politiki	2	8
st?pâ	1	5
iztaæi	1	6
lin	2	3
ropstva	11	7
prsnoga	1	7
zavladati	1	9
èesme	2	5
æolka	2	5
zaèito	1	6
nalazi	24	6
ujutro	1	6
gazdinu	3	7
suz	9	3
njen	5	4
najotajnija	1	11
pašini	2	6
fijokama	1	8
zagnjuri	1	8
lievu	3	5
dimenziju	2	9
jistine	1	7
sjeverna	4	8
karakteristièni	1	15
bolezan	4	7
beskonaèni	1	10
oblaènim	1	8
kupio	13	5
žestoke	2	7
zeljaje	1	7
jadnog	1	6
upravnom	1	8
legrad	2	6
zatutnjili	1	10
razmještajuæ	1	12
bašèine	1	7
papka	1	5
posveæeni	1	9
pustolovlja	1	11
obile	1	5
prisvital	1	9
prebaci	2	7
najužasniji	1	11
poniženih	1	9
zasmijale	1	9
župnoj	1	6
gordom	1	6
zdenac	2	6
nosih	1	5
secundo	1	7
bivših	1	6
milièna	1	7
pretvorilo	1	10
najstarija	6	10
umil	1	4
blagosoviv	1	10
perijodu	7	8
klupi	3	5
primožnik	1	9
kraljevstva	9	11
uèenikâ	1	7
palite	1	6
ninfeja	1	7
praskala	2	8
umakosmo	1	8
negdašnje	7	9
izrièno	1	7
kebrena	1	7
fra	5	3
snena	1	5
luceat	1	6
slovnih	2	7
umiæstva	1	8
gazdinskima	1	11
postaneš	1	8
pojate	2	6
zubaèa	1	6
stajao	18	6
oznaèivali	1	10
manami	1	6
ajanta	1	6
sub	5	3
molili	4	6
zaplamsalo	1	10
trgovca	4	7
liberalnoj	1	10
pljuštila	1	9
jašuæ	1	5
krasnoga	1	8
najbliža	1	8
osvanuæe	1	8
obukli	3	6
uèeni	2	5
uzrasta	1	7
koleba	1	6
zgusne	1	6
prijah	1	6
piljima	1	7
sunèenim	1	8
haramijo	1	8
ispraznost	6	10
priko	1	5
biljke	1	6
gledim	1	6
pribistri	1	9
moèvara	1	7
seka	4	4
imovina	7	7
djevenica	1	9
težka	10	5
unuèadi	2	7
zablenu	1	7
mimošnih	3	8
zastrašiti	1	10
niema	7	5
bolesnoj	1	8
sirotan	1	7
nevije	2	6
avlija	1	6
graca	1	5
križevi	2	7
podignuta	1	9
æute	3	4
dvojba	1	6
plovidba	1	8
podzemni	1	8
udahnuv	2	7
djeda	4	5
kolanja	1	7
svistiti	2	8
spoèitnula	1	10
lipu	2	4
anku	2	4
medarova	1	8
misnika	2	7
sunt	6	4
kucnu	2	5
diæ	1	3
duni	1	4
obilno	1	6
poustajavši	1	11
bojnoga	2	7
vulkani	1	7
tuna	1	4
poklonit	4	8
skusiti	3	7
corporis	1	8
kuralom	1	7
takovi	3	6
predati	5	7
candida	1	7
dijani	3	6
ojunaèio	1	8
kopriva	1	7
šalih	1	5
padoše	9	6
manco	1	5
slažeš	1	6
svladali	1	8
vjetrovi	5	8
razpletene	1	10
podnaèelnika	1	12
oslobodjenja	1	12
oskudicom	1	9
obuzeta	2	7
priprosta	4	9
pustošenja	1	10
èasopisih	1	9
ponavljam	1	9
suprotnoj	1	9
èamca	1	5
bljeske	1	7
ovoj	61	4
svjetske	2	8
nadskoèio	1	9
praznini	3	8
istoènik	1	8
gradom	6	6
tanano	1	6
povuèena	1	8
jadan	16	5
klièe	4	5
hoti	5	4
sablastima	1	10
tona	1	4
gnjezdašcu	1	10
otèe	16	4
sobu	55	4
pristoji	22	8
zlostavljala	2	12
sadiš	1	5
oèaj	8	4
nebi	5	4
užinamo	2	7
komentar	1	8
siedu	2	5
odajama	2	7
nahranila	1	9
propelom	1	8
požgati	1	7
nemirnu	1	7
sadati	1	6
žar	17	3
podvorila	1	9
gasili	1	6
šapora	1	6
iridom	1	6
prosu	9	5
grah	4	4
plodje	1	6
tasama	1	6
ustidjena	1	9
podali	1	6
revija	22	6
svjetlom	26	8
srèbe	1	5
lahori	1	6
lier	3	4
skuha	1	5
predhodnik	1	10
pomolile	1	8
vole	8	4
poznanika	1	9
srebrenu	1	8
opinionibus	1	11
smiešilo	1	8
bižeèi	1	6
surke	1	5
bol	48	3
spjeva	14	6
hladujuæi	1	9
piemonteza	1	10
omotana	2	7
mozak	1	5
takovim	4	7
che	15	3
nadvikuje	1	9
dvanaesteraca	1	13
udaje	10	5
razbila	5	7
tekuæine	1	8
piskut	1	6
citarami	1	8
neprilika	4	9
prius	1	5
vezan	3	5
kovaèa	3	6
razgovor	31	8
usto	4	4
izvidjeti	2	9
gledaje	1	7
crvak	3	5
kužni	1	5
podivanim	1	9
dvi	17	3
papæu	1	5
exageratione	1	12
mameli	1	6
razjasni	2	8
dopadnula	1	9
uputom	1	6
èobanica	1	8
nedilju	2	7
lomaèe	2	6
otisnute	1	8
ogrnuo	3	6
amoris	2	6
naviještati	1	11
zakratiše	1	9
ruèici	2	6
šumjeti	1	7
klitemnestru	2	12
koza	1	4
poboène	1	7
granièan	1	8
sirote	8	6
svemilja	1	8
brez	30	4
jutarnjim	2	9
poveæega	1	8
mirnoj	2	6
umjetnièkoj	1	11
izvija	1	6
bijednik	1	8
isijeèe	1	7
lažljiv	1	7
djubreta	1	8
poprasiti	1	9
zefire	1	6
izronila	1	8
sumorni	3	7
nakalemita	1	10
oèici	1	5
natove	1	6
ruèkonoše	1	9
ukopani	2	7
razmjestivši	1	12
natkriljuješ	1	12
pritvora	13	8
sokoliæa	1	8
promicat	1	8
protuslovljem	1	13
korisne	2	7
vetranoviæ	2	10
izbjeæi	2	7
laskat	1	6
likarija	3	8
vijanja	1	7
momaèka	1	7
naparæen	1	8
deklica	3	7
æerku	1	5
utrkivati	1	9
staji	1	5
domaæica	7	8
kratkovjeko	1	11
druzila	1	7
vsih	1	4
pretekoh	1	8
naperio	1	7
objavi	1	6
bošnjaci	2	8
omara	1	5
tadanjega	1	9
konjièki	1	8
razkoši	6	7
pregaza	1	7
najplemenitije	1	14
hranitbi	1	8
pišuæi	4	6
nauzmožno	1	9
prozvaše	2	8
otimaju	4	7
svjetino	1	8
brojnosti	1	9
vidja	4	5
lopudsku	2	8
ajdmo	1	5
zar	115	3
umjenje	1	7
pravilno	1	8
potisnuli	1	9
porjedje	2	8
potvrdjuje	1	10
nezasitna	3	9
draškoviækâ	1	11
datuma	1	6
muljao	1	6
srušio	1	6
natjerati	1	9
preseka	1	7
udova	6	5
žugjen	1	6
nasititi	1	8
dobitnicom	1	10
ugoðaja	1	7
mièe	6	4
loviækih	1	8
zapoèinjala	1	11
bolan	3	5
jedinstveno	1	11
najdubljom	1	10
mlijeko	4	7
šalu	11	4
prievodi	1	8
suzi	1	4
zadobiti	1	8
kovati	1	6
klancu	1	6
broje	3	5
die	3	3
zmuèena	1	7
jedinstven	1	10
kravulja	1	8
donieti	2	7
prvim	18	5
misliv	2	6
navijestili	1	11
svietleæi	1	9
zatalasa	1	8
nakazom	1	7
paviæ	1	5
vaj	19	3
postane	24	7
našô	1	4
kraj	176	4
jednakima	1	9
zaronu	1	6
utirajuæi	1	9
svieæe	12	6
illirica	1	8
prozira	2	7
glasbu	2	6
napaljivati	1	11
sproveo	2	7
državnike	1	9
napomena	5	8
kmetskog	1	8
zvijezde	3	8
znati	43	5
gnijezdom	1	9
poodpadala	1	10
napraviti	1	9
siromašnog	1	10
duæan	3	5
matin	2	5
petroviæu	1	9
prijatne	1	8
znake	1	5
gazdinskih	4	10
izložio	1	7
jutrom	7	6
opreci	2	6
kipu	10	4
sladak	7	6
dvadesete	1	9
divinaciju	1	10
skrovnom	1	8
gledeæ	3	6
sepulta	1	7
triesi	2	6
siže	11	4
budile	2	6
trknula	1	7
finiji	1	6
mnjah	1	5
propušæaju	1	10
nazovem	1	7
saæ	1	3
živima	1	6
kolikih	1	7
usprkos	2	7
iza	185	3
prokšeno	2	8
mistiènoj	1	9
makom	2	5
javiti	6	6
opraše	1	6
izvjest	1	7
grnulo	1	6
plandovanje	1	11
cvrljuka	1	8
samosvjestan	1	12
jednakim	3	8
usnih	1	5
demagoških	1	10
sumnje	21	6
državi	2	6
impf	3	4
maramom	3	7
idealiziranoj	1	13
vedrini	8	7
zalieta	1	7
zapahnuta	1	9
prisutnici	2	10
žurimo	1	6
nekakav	3	7
plamteæom	1	9
kljuèa	1	6
nastamba	1	8
kraljici	3	8
zdvomu	1	6
upril	1	5
olizo	1	5
dirajuæi	1	8
èistinu	7	7
narodnjaku	1	10
istrošene	1	9
treperni	1	8
namjerili	1	9
lupio	2	5
rajevinom	3	9
sajam	4	5
laomedonta	1	10
razvedruju	1	10
abstraktne	1	10
papratu	2	7
sprave	1	6
jevtinije	1	9
boljarkom	1	9
školj	2	5
iztrkuje	1	8
uspravila	2	9
neprijatan	1	10
evang	3	5
ratno	2	5
vitežku	2	7
zastavu	5	7
sružiti	1	7
vezaèa	4	6
prenatrpanih	1	12
oprateženi	1	10
djipat	1	6
procurilo	1	9
razklopile	1	10
trov	1	4
razdjelih	1	9
troglodita	1	10
zasjela	1	7
podboèiv	1	8
pèelâ	1	5
nasilja	5	7
vijorom	1	7
vijena	1	6
podnese	1	7
taliju	1	6
bosilje	2	7
oduševljenjem	1	13
turnuli	1	7
udaji	7	5
kupite	2	6
magnificat	2	10
gospoduju	1	9
benedek	1	7
oborene	1	7
naimisa	1	7
gunðaj	1	6
zviždeæ	1	7
gojila	1	6
estetièkom	1	10
obtarcan	1	8
era	1	3
prilikami	3	9
pater	54	5
sniva	12	5
sudjelovala	1	11
izpregla	1	8
skamenjen	1	9
magaretom	1	9
povuæi	1	6
opire	2	5
leæi	8	4
pjesan	8	6
upinjati	1	8
peremo	1	6
nebesnik	1	8
orlovu	1	6
muškoga	1	7
metamorfoznih	1	13
dolinu	6	6
zastupnik	1	9
celiniæ	4	7
zuènu	1	5
zagluhnuti	1	10
kneže	5	5
žestiš	1	6
kras	2	4
eorum	1	5
poštovani	6	9
lupežima	1	8
mamno	1	5
rušiti	2	6
obole	1	5
okrupan	2	7
èamcu	3	5
jednog	48	6
obradbom	2	8
zavarati	1	8
listak	11	6
svjeæice	1	8
naišao	1	6
ustmeno	2	7
zakarsmavši	1	11
deum	1	4
sprata	1	6
evropu	1	6
kamenim	1	7
narodnju	1	8
pokušao	5	7
neèije	1	6
mraèni	2	6
pozdravit	1	9
manj	8	4
konjica	2	7
gluh	5	4
intra	1	5
isukarstovih	1	12
izèeznete	1	9
sika	1	4
æutljivu	1	8
bratu	19	5
davno	24	5
zavilo	1	6
osame	1	5
duhovnim	1	8
ostaje	16	6
dubièki	1	7
rike	9	4
krugovima	1	9
gvoždju	1	7
napisati	1	8
zagorsko	1	8
onoga	49	5
odliènoj	1	8
zaduževati	1	10
zelenija	1	8
dopremi	1	7
plemenitom	1	10
svetke	1	6
jadranskom	1	10
sunèanijem	1	10
uzeli	11	5
razgovarajuæ	1	12
napojiš	1	7
oprostiše	5	9
zabranio	1	8
njim'	1	5
otkri	3	5
neurednim	1	9
zraène	2	6
požutjela	1	9
djelovale	2	9
obæega	5	6
bolim	1	5
breskve	1	7
uske	1	4
šatre	3	5
pašnjak	3	7
divili	1	6
viso	1	4
motivike	2	8
današnju	1	8
netopiri	2	8
metvica	1	7
zauzimlju	1	9
velmože	1	7
sakri	2	5
napeto	4	6
mitskomu	1	8
doniti	1	6
našalio	2	7
složila	4	7
inoga	1	5
dalmatine	3	9
širom	24	5
posvetu	1	7
pjevamo	3	7
svaljen	1	7
petrarkina	1	10
blagoæa	1	7
odvratit	2	8
francez	1	7
sladjahne	2	9
matiæevi	1	8
bacio	7	5
namjestnici	1	11
dosadni	2	7
umirala	1	7
bradom	3	6
vrlinom	1	7
sumnjiv	3	7
tiskali	1	7
potamnila	1	9
sismondi	2	8
rasipati	1	8
nakašljala	1	10
drugu	62	5
španjolske	2	10
pogledavala	2	11
umno	2	4
klance	2	6
prilikah	1	8
boju	20	4
spoznaja	2	8
dojuriše	1	8
kršæanstvu	1	10
razveseli	2	9
hostiju	2	7
idealno	1	7
usudila	4	7
uèestale	1	8
pisaca	2	6
krivnika	2	8
iskljuèena	1	10
djakovštini	1	11
drvoreda	1	8
nakrivio	1	8
punski	1	6
izlieèi	2	7
metametriènošæu	1	15
ružni	2	5
uzpne	1	5
odoh	5	4
gospodjama	7	10
kretalo	1	7
živahno	1	7
nedobrohotan	1	12
slovke	2	6
neponjatnost	1	12
buditi	6	6
èešæekrat	1	9
kišu	4	4
grèiæ	3	5
patriarku	1	9
neliturgijski	1	13
prorièe	2	7
pravdat	2	7
gruntovnom	1	10
akisa	1	5
ovce	29	4
odpjevati	1	9
nadasve	6	7
goj	5	3
izreka	4	6
ukrao	3	5
marmnjuæi	2	9
klenu	1	5
žalovati;pjevati	1	16
otajstveni	2	10
pobunio	1	7
obèinila	1	8
pregnu	1	6
stinu	1	5
hranilnica	1	10
rukâ	1	4
snježanih	2	9
krajiške	1	8
coelo	2	5
potajno	6	7
æive	3	4
èeških	1	6
okrstiš	1	7
neg	114	3
vještaku	1	8
gojena	1	6
albanija	1	8
papagaju	1	8
daljini	6	7
ljubovnici	6	10
usko	2	4
sjajan	3	6
potištenu	1	9
šuplje	1	6
pogledalo	2	9
kolina	6	6
shvati	10	6
prskom	1	6
uzburkani	1	9
rubcem	4	6
domaæicom	1	9
trima	3	5
trkom	1	5
operazione	1	10
prinio	1	6
odpravila	1	9
uzorom	1	6
blisti	2	6
primiriti	1	9
zalievala	1	9
pokojnih	1	8
namolile	1	8
životni	1	7
hrvata	11	6
poskoènici	1	10
krvomiešnje	1	11
oturala	1	7
teciše	4	6
èudeæ	2	5
razbijala	1	9
toèaka	1	6
grumci	1	6
priznanju	1	9
politiran	2	9
rastati	1	7
stražarski	2	10
smokva	1	6
gospodine	30	9
jašeš	2	5
znanostî	1	8
osut	2	4
tekstova	10	8
vjeènu	10	6
ugušio	1	6
crninom	1	7
sbacite	1	7
smijuške	1	8
obukla	4	6
ponoru	1	6
susriteæ	1	8
knjiŽnica	3	9
kreuzu	1	6
pjesmicu	9	8
prigodom	3	8
leža	1	4
knjižestvom	1	11
okon	1	4
napreda	1	7
rasporeðen	1	10
mrcinjaš	1	8
poldneva	1	8
pokojnikov	2	10
hudobom	1	7
barjaktarovu	1	12
izgovori	3	8
kailaæi	1	7
volji	47	5
žedj	1	4
prvotna	1	7
uzkrsnuo	1	8
draè	5	4
rièe	2	4
èislo	10	5
polnoæ	7	6
neizcrpno	1	9
ponagusto	2	9
brdom	1	5
izvezenu	1	8
izdajice	6	8
širokomu	1	8
djevièanstvu	2	12
teutonce	1	8
mikanovèani	1	11
djerdani	1	8
obilnoj	1	7
nevjera	3	7
preplašeni	4	10
jezik	45	5
laskala	3	7
zemljištima	1	11
mesnièku	3	8
v?lu	1	4
voðu	2	4
tavanica	1	8
european	1	8
štitom	6	6
kreta	2	5
sjeckajuæi	1	10
snenoj	1	6
svetoj	12	6
tersje	1	6
saiæ	19	4
uranion	8	7
zategla	2	7
izvještite	1	10
obilazim	1	8
protuliti	1	9
ropstvu	1	7
postanku	1	8
spasitelj	2	9
sladili	1	7
kavezu	1	6
animam	4	6
nadu	9	4
sklanja	2	7
zgodna	4	6
pravednice	1	10
trbuhu	1	6
pasali	1	6
pobusa	1	6
utekoše	1	7
poèten'	1	7
stupati	2	7
kuta	2	4
priželjujuæi	1	12
riešila	8	7
debla	1	5
trake	3	5
igranja	3	7
divniæeve	1	9
obalnim	1	7
približio	4	9
primijenio	1	10
opipa	1	5
kljuèem	4	7
tuponje	1	7
njemaèkoga	2	10
quoque	1	6
patila	2	6
majevice	1	8
prejaki	1	7
skuæarima	1	9
kuæica	2	6
kadije	2	6
istaknutom	1	10
svrh	1	4
šibanu	1	6
spasi	7	5
orahovini	1	9
udomiti	1	7
pošalju	2	7
ružnoga	1	7
gladi	8	5
dizao	2	5
zatomili	1	8
poviknule	1	9
izdišeš	1	7
škvor	1	5
pomoænicom	2	10
igranke	1	7
dvorskim	1	8
pušèano	1	7
požarom	1	7
smie	1	4
snivaju	1	7
kramar	1	6
martinje	1	8
obtužili	1	8
živastijena	1	11
javom	1	5
popievke	1	8
neutrudivom	1	11
sarukom	1	7
slavoluci	1	9
gumbarski	1	9
grom	7	4
ponašanja	1	9
peèatenja	1	9
bakren	1	6
žudjeti	1	7
pobjede	7	7
zaèarala	1	8
izprva	5	6
dospivši	2	8
mogne	2	5
znanstveno	1	10
rdji	1	4
gušterica	1	9
isprati	1	7
tuko	22	4
sretan	25	6
odnosa	1	6
osami	6	5
marve	2	5
prestani	2	8
proz	1	4
blagoslovnu	1	11
šljiva	2	6
krater	1	6
vojujuæi	1	8
ohladiti	2	8
izvršenje	1	9
prodre	6	6
betika	2	6
prša	1	4
tmušastu	1	8
istroši	1	7
darom	7	5
djevojèinoj	2	11
nihil	1	5
natruha	1	7
preletio	2	8
govorahu	3	8
umiæu	3	5
verh	5	4
južnog	1	6
rabnjom	1	7
dolazi	15	6
bavila	1	6
tankoæutnim	1	11
epopeju	1	7
zapamti	5	7
rimljanki	1	9
razpojasim	1	10
djakovca	1	8
miserum	1	7
paèeli	10	6
repelja	4	7
uzdahnula	9	9
bielog	2	6
sladkom	4	7
podanica	1	8
sporazum	1	8
zbunjena	1	8
dolih	1	5
razkinula	1	9
doklegod	6	8
božanstva	5	9
kupilo	1	6
zaustavljanje	1	13
objesi	1	6
prozraèan	1	9
trajaše	2	7
nukaše	2	6
ortakluèiti	1	11
prisusediti	1	11
navijati	1	8
podranila	1	9
zatreptalo	1	10
umorili	2	7
napitci	1	7
sinuo	1	5
menuet	1	6
žvaèe	1	5
kuhaèe	1	6
cvrèka	1	6
èesti	3	5
poglédala	1	9
žita	10	4
doviek	1	6
nebeski	13	7
osjeæala	20	8
zavjeri	1	7
brvih	1	5
vlasu	1	5
takaje	2	6
dijelove	1	8
rasprti	1	7
krstovoj	2	8
koljebu	1	7
primjetbi	1	9
preporuèim	1	10
dra	7	3
otruni	2	6
procvjetati	1	11
prikrije	2	8
oculis	1	6
obaviest	1	8
izmišljenom	1	11
krstašu	1	7
zastala	1	7
blagošæu	2	8
alah	7	4
uvižbati	1	8
palme	3	5
vise	6	4
proèitaš	1	8
naum	1	4
pomagat	1	7
slavnomu	2	8
svirajuæi	1	9
prida	4	5
obješenjak	1	10
shvaæao	2	7
žudeæi	1	6
ruku	4	4
zadanu	1	6
pjano	2	5
kosom	10	5
žednom	1	6
zvati	8	5
mindjuše	1	8
deneb	1	5
vedriti	1	7
upalila	1	7
savro	2	5
poznaje	9	7
morskoga	1	8
kolievci	1	8
pobluditi	1	9
stajama	1	7
dominkoviæevo	1	13
uredjivati	1	10
zaisto	13	6
zapjevavši	1	10
šumah	5	5
nenadano	4	8
davajuæi	5	8
amadrijadi	2	10
prosta	5	6
slavonij	1	8
osbiljno	7	8
jedinim	1	7
dodade	5	6
oružje	14	6
rastrgali	1	9
spiritistiènoj	1	14
limuna	1	6
pojuæ	10	5
poniet	2	6
zastori	1	7
zavièu	1	6
kleknu	1	6
potiskivahu	1	11
zov	2	3
napunjena	1	9
vidjeli	11	7
podji	1	5
sjeo	11	4
gubavicom	1	9
diraš	1	5
sladka	9	6
facilis	1	7
ležao	1	5
ius	1	3
lišæu	1	5
prijanu	1	7
paval	1	5
nesloga	1	7
sazovem	1	7
nepovrat	1	8
oæutiše	1	7
navlašnji	1	9
nemilo	12	6
izvrpa	3	6
dostvoriti	1	10
otvorim	1	7
javor	4	5
motiva	4	6
nadrasli	1	8
humora	1	6
zloradim	2	8
nejasnost	1	9
stanak	5	6
obtuženi	1	8
lazurnim	1	8
žuborit	1	7
abrahama	1	8
podvigu	1	7
svemu	50	5
dreselim	1	8
antom	1	5
brizi	8	5
odmnieva	3	8
ljudevita	1	9
uzahno	1	6
beæarsku	1	8
mužkoga	1	7
prignutom	1	9
zasjedanju	1	10
jelino	1	6
paveliæa	1	8
baše	1	4
pameæu	3	6
gjorgjiæ	1	8
obrijane	1	8
zakipjelo	1	9
izabrana	5	8
spavaæe	1	7
èežnja	6	6
sasvime	2	7
cjelinu	3	7
jaukala	2	7
slale	1	5
opametiš	1	8
dajemo	2	6
vragovom	1	8
jutarnjeg	4	9
zaglušile	1	9
gitini	3	6
odrješitost	1	11
stjerat	1	7
drž	9	3
baève	1	5
povila	1	6
napuljski	1	9
orumenivši	1	10
obzirno	1	7
opljunuv	1	8
gostiju	3	7
reèe	419	4
popravcih	1	9
veronu	2	6
poznavši	4	8
umjela	1	6
prohladiše	1	10
uhvatio	16	7
kancona	1	7
umijem	4	6
aegrotos	1	8
fikciji	1	7
narodnosti	2	10
ralje	1	5
nastala	16	7
psalam	7	6
vezenu	2	6
tužic	1	5
èestite	2	7
uskladiti	1	9
preboljevši	1	11
izkopali	1	8
valjade	1	7
nestalnih	1	9
zbaciti	1	7
opakoga	1	7
uzvikali	1	8
izbacili	1	8
venezia	2	7
vidro	1	5
jimam	2	5
saruèinah	1	9
žarkomu	1	7
životvornih	1	11
krajevi	2	7
rieti	1	5
sebièja	4	7
odaje	10	5
usilovati	1	9
prokšen	1	7
svisnula	3	8
metrom	1	6
razsuditi	1	9
glupi	1	5
ukrini	1	6
ukosirila	1	9
strjelimice	1	11
redovnik	3	8
frajlice	1	8
spazi	7	5
strujao	1	7
obhajati	1	8
osobami	1	7
iam	1	3
bolna	2	5
nahranimo	1	9
spomenuo	4	8
kazujuæ	1	7
veselit	1	7
nasmijale	3	9
mušterija	4	9
gasnuti	1	7
lugasta	1	7
dospiva	1	7
uèinio	29	6
kipra	1	5
preraðoviæevoj	1	14
starka	1	6
dijaloških	1	10
predajuæi	1	9
razvitku	2	8
blagoslivao	1	11
stanèiæ	1	7
uzrokom	3	7
èetverta	1	8
baviti	4	6
ljudevit	2	8
autorovu	1	8
napuèi	1	6
gušæi	1	5
zvat	1	4
bôlju	1	5
ispunjaš	2	8
deseterim	1	9
ljubom	1	6
žalba	1	5
rašèinio	1	8
nezadovoljna	1	12
nicale	1	6
vjeènome	6	8
utaborio	1	8
sultanov	1	8
uvjerava	1	8
prekratka	1	9
neustrašivo	1	11
izviditi	1	8
zujio	1	5
kriviti	3	7
ljubavan	2	8
sgodom	1	6
pristupiv	2	9
sinke	3	5
savija	5	6
nasiljem	1	8
sastati	3	7
slajaše	3	7
stražaru	1	8
zumbul	1	6
svetkovinu	1	10
pripadnica	1	10
prekinuti	9	9
salutare	2	8
prilegle	1	8
lupeža	1	6
gg	1	2
trèkala	1	7
zaišteš	1	7
najstarije	1	10
toènost	1	7
poštovati	1	9
bedroj	1	6
žerljiv	1	7
zvuèati	1	7
osvojna	1	7
gnjilost	1	8
jezuita	5	7
preradoviæev	5	12
tradiciji	2	9
olujina	2	7
skrstile	1	8
utješe	1	6
srblje	1	6
pamtila	1	7
zrinjskomu	4	10
odtud	3	5
rek	7	3
reditelji	1	9
izkazala	1	8
pjesnici	13	8
ponjavom	1	8
