token	frequency	length
munjevnu	1	8
talijanska	3	10
shizma	1	6
preæerujuæ	1	10
prostaèica	1	10
sunèani	3	7
rafaja	6	6
kajda	1	5
perem	2	5
kruna	3	5
sutoni	1	6
zamuæen	1	7
truloga	1	7
popratio	4	8
gladuju	1	7
plavetnice	2	10
razaznaješ	1	10
sreæe	82	5
budimskoga	1	10
uskrsu	1	6
pone	2	4
uzto	1	4
nepremosni	1	10
izdahnula	1	9
svitanja	1	8
ishlapljene	1	11
teturati	1	8
jednoga	61	7
smeten	1	6
nadgrobnicu	1	11
brodaru	1	7
dunav	4	5
iznièe	1	6
prez	59	4
stupnjeve	1	9
zdvojni	7	7
moèvaruša	1	9
pridušiv	1	8
zadihan	3	7
površno	2	7
otegnut	1	7
najpervoj	1	9
kompozicijom	2	12
plive	1	5
sata	11	4
tugo	3	4
druguje	1	7
dosadnih	2	8
oku	37	3
hržu	1	4
ponos	12	5
provu	1	5
razmišljavao	1	12
zacvilili	1	9
spiritistièku	2	13
zjenica	5	7
zakletvu	1	8
meo	6	3
procurato	1	9
zabilježi	1	9
nesretnim	1	9
šikloških	2	9
novaka	10	6
srbskoga	2	8
ogranulo	1	8
mosti	1	5
pogledajte	1	10
nagledje	1	8
uèenost	3	7
ponosnoj	2	8
uplivnim	1	8
sabijenih	1	9
pretrka	1	7
prekoramio	2	10
uzdom	3	5
nahodeæ	1	7
malahan	1	7
mudrovati	1	9
nekih	8	5
unuci	3	5
eos	6	3
zadužbinâ	1	9
perov	1	5
tigri	2	5
bolesnik	1	8
porugljivo	6	10
topit	1	5
ukopanu	1	7
izvukosmo	1	9
skaèe	10	5
naslonio	2	8
nebesim	7	7
kovano	1	6
košticami	1	9
poravnjuje	1	10
posredovao	1	10
ksilografa	1	10
martirium	1	9
ostrovicu	1	9
radostivim	1	10
mrvo	7	4
srušiv	1	6
stražmeštru	2	11
stepenice	7	9
održa	2	5
prame	2	5
tudjin	8	6
ponit	6	5
svrnut	1	6
ahileja	1	7
peèalno	1	7
sfere	2	5
veska	1	5
priletiv	2	8
izgrditi	1	8
èetimice	1	8
veles	1	5
svaða	3	5
prigovornik	1	11
oružan	1	6
šatori	1	6
poloneze	1	8
siju	3	4
progovorimo	1	11
spominav	1	8
